Category 1,Quality,Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Wine,Premium,DF Spain,,,,,1.3,1.6,1.6,1.5,3.3,1.9,1.4,1.0,0.6,0.3,0.3,0.2,0.8,0.7,1.3,1.4,1.8,2.2,2.3,1.5,1.7,1.5,2.2
Wine,Premium,Ukraine,,,,,,,,,,,,,,,,,,,1.0,0.7,1.3,2.8,4.3,4.8,3.1,2.1,1.8
Wine,Premium,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.3,0.5,0.6,0.8,0.2,0.1,0.9,0.9,1.3,1.4,1.8,1.8
Wine,Premium,Japan,2.3,1.8,1.8,1.5,1.4,1.2,2.4,2.3,1.6,9.4,8.6,7.4,3.3,1.5,1.2,1.2,1.5,1.7,1.7,1.7,2.0,1.7,2.0,2.4,2.3,2.7,1.8
Wine,Premium,DF Rest of Africa,,,,,,,,,,,1.7,1.0,0.5,0.3,0.2,0.2,0.3,0.3,0.9,0.6,1.4,1.7,1.6,1.1,1.6,1.3,1.8
Wine,Premium,Finland,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.4,1.2,1.7,2.0,1.8,1.8,1.9,2.0,2.0,1.8,1.5,1.4,1.4,1.5,1.5,1.3,1.8,1.8
Wine,Premium,DF Turkey,,,,,,,,,,,0.2,0.2,0.2,0.3,0.2,0.2,0.1,0.1,0.2,0.3,0.5,0.8,1.0,1.0,1.1,1.0,1.5
Wine,Premium,DF Czech Republic,,,,,,,,,,,,,0.2,0.0,0.0,0.1,0.1,0.1,0.5,0.4,0.5,0.5,0.9,0.7,0.8,0.8,1.4
Wine,Premium,DF Netherlands,,,,,1.5,2.0,2.2,2.2,4.0,1.6,0.8,0.7,0.7,0.6,0.4,0.4,1.0,1.3,1.5,2.0,2.2,1.3,1.3,1.0,0.8,1.0,1.3
Wine,Premium,Spain,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.8,2.0,1.5,1.5,2.3,2.5,2.0,2.0,2.0,1.5,1.3,1.5,1.3
Wine,Premium,DF Rest of Central & Eastern Europe,,,,,,,,,,,,0.9,0.6,0.4,0.4,0.5,0.5,0.5,0.9,0.8,1.3,0.8,1.1,0.9,1.0,1.3,1.3
